ID,innings,BattingTeam,TotalRuns,AvgWickets,MaxOvers
336040,1,Chennai Super Kings,163,0.04032258064516129,19
336040,2,Rajasthan Royals,164,0.05555555555555555,19
392181,1,Mumbai Indians,165,0.05785123966942149,19
392181,2,Chennai Super Kings,146,0.056910569105691054,19
392182,1,Royal Challengers Bangalore,133,0.06557377049180328,19
392182,2,Rajasthan Royals,58,0.10101010101010101,15
392183,1,Kings XI Punjab,104,0.09210526315789473,11
392183,2,Delhi Daredevils,58,0.0,4
392184,1,Kolkata Knight Riders,101,0.08403361344537816,19
392184,2,Deccan Chargers,104,0.025,13
392185,1,Chennai Super Kings,179,0.04032258064516129,19
392185,2,Royal Challengers Bangalore,87,0.10416666666666667,15
392186,1,Kings XI Punjab,158,0.047244094488188976,19
392186,2,Kolkata Knight Riders,79,0.016666666666666666,9
392188,1,Deccan Chargers,184,0.049586776859504134,19
392188,2,Royal Challengers Bangalore,160,0.06349206349206349,19
392189,1,Delhi Daredevils,189,0.04132231404958678,19
392189,2,Chennai Super Kings,180,0.072,19
392190,1,Rajasthan Royals,150,0.047619047619047616,19
392190,2,Kolkata Knight Riders,150,0.06153846153846154,19
392190,3,Kolkata Knight Riders,15,0.14285714285714285,0
392190,4,Rajasthan Royals,18,0.0,0
392191,1,Royal Challengers Bangalore,168,0.07317073170731707,19
392191,2,Kings XI Punjab,173,0.025210084033613446,18
392192,1,Deccan Chargers,168,0.072,19
392192,2,Mumbai Indians,156,0.05511811023622047,19
392194,1,Royal Challengers Bangalore,149,0.05555555555555555,19
392194,2,Delhi Daredevils,150,0.03333333333333333,19
392195,1,Kings XI Punjab,139,0.046875,19
392195,2,Rajasthan Royals,112,0.056,19
392196,1,Chennai Super Kings,165,0.047244094488188976,19
392196,2,Deccan Chargers,169,0.03305785123966942,19
392197,1,Mumbai Indians,187,0.04838709677419355,19
392197,2,Kolkata Knight Riders,95,0.09473684210526316,15
392198,1,Delhi Daredevils,143,0.05737704918032787,19
392198,2,Rajasthan Royals,147,0.0423728813559322,18
392199,1,Kolkata Knight Riders,139,0.04878048780487805,19
392199,2,Royal Challengers Bangalore,143,0.04,19
392200,1,Kings XI Punjab,119,0.06349206349206349,19
392200,2,Mumbai Indians,116,0.0546875,19
392201,1,Deccan Chargers,148,0.07317073170731707,19
392201,2,Delhi Daredevils,150,0.03333333333333333,18
392202,1,Chennai Super Kings,164,0.04065040650406504,19
392202,2,Rajasthan Royals,126,0.075,19
392203,1,Mumbai Indians,148,0.047619047619047616,19
392203,2,Kolkata Knight Riders,139,0.047244094488188976,19
392204,1,Royal Challengers Bangalore,145,0.07258064516129033,19
392204,2,Kings XI Punjab,137,0.056910569105691054,19
392205,1,Deccan Chargers,141,0.04032258064516129,19
392205,2,Rajasthan Royals,142,0.05737704918032787,19
392206,1,Chennai Super Kings,163,0.08,19
392206,2,Delhi Daredevils,145,0.06611570247933884,19
392207,1,Kolkata Knight Riders,153,0.024390243902439025,19
392207,2,Kings XI Punjab,154,0.031746031746031744,19
392208,1,Mumbai Indians,149,0.03278688524590164,19
392208,2,Royal Challengers Bangalore,150,0.008620689655172414,18
392209,1,Chennai Super Kings,178,0.024193548387096774,19
392209,2,Deccan Chargers,100,0.10989010989010989,14
392210,1,Rajasthan Royals,211,0.03225806451612903,19
392210,2,Kings XI Punjab,133,0.0625,19
392211,1,Kolkata Knight Riders,154,0.024193548387096774,19
392211,2,Delhi Daredevils,157,0.008620689655172414,18
392212,1,Deccan Chargers,145,0.04838709677419355,19
392212,2,Mumbai Indians,126,0.06611570247933884,19
392213,1,Royal Challengers Bangalore,105,0.08,19
392213,2,Rajasthan Royals,107,0.03225806451612903,14
